,Model,Accuracy
1,Random Forest,0.9219143576826196
4,BaggingClassifier,0.8967254408060453
7,GradientBoostingClassifier,0.8866498740554156
0,Decision Tree,0.7984886649874056
3,KNN,0.7884130982367759
5,LogisticRegression,0.7128463476070529
9,AdaBoostClassifier,0.7128463476070529
2,SVM,0.6977329974811083
6,MLPClassifier,0.6498740554156172
8,GaussianNB,0.6423173803526449
